masanpham,tensanpham,donvi,chinhanh,songaynhan,tonao,tonhangdiduong,toncn,tonhcm,tonmerap,tonvime
EH020,Trimafort 10ml,HOP,HN,1.0,0.0,0.0,18.0,0.0,0.0,0.0
EH020,Trimafort 10ml,HOP,KH,5.0,0.0,0.0,43.0,0.0,0.0,0.0
EH065,Mecefix-B.E 250mg,HOP,CT,7.0,0.0,320.0,46.0,0.0,0.0,0.0
EH065,Mecefix-B.E 250mg,HOP,DNAI,6.0,-19.0,0.0,685.0,10.0,0.0,0.0
EH065,Mecefix-B.E 250mg,HOP,DNANG,5.0,-5.0,0.0,901.0,960.0,0.0,0.0
EH065,Mecefix-B.E 250mg,HOP,HCM,6.0,-10.0,0.0,942.0,0.0,0.0,0.0
EH065,Mecefix-B.E 250mg,HOP,HN,1.0,0.0,0.0,161.0,0.0,0.0,0.0
EH065,Mecefix-B.E 250mg,HOP,KH,5.0,-1.0,0.0,66.0,60.0,0.0,0.0
EH065,Mecefix-B.E 250mg,HOP,NA,2.0,0.0,0.0,169.0,0.0,0.0,0.0
EH066,Mecefix-B.E 50mg,HOP,CT,7.0,0.0,0.0,168.0,0.0,0.0,0.0
EH066,Mecefix-B.E 50mg,HOP,DNAI,6.0,-15.0,0.0,345.0,231.0,0.0,0.0
EH066,Mecefix-B.E 50mg,HOP,DNANG,5.0,-10.0,0.0,447.0,0.0,0.0,0.0
EH066,Mecefix-B.E 50mg,HOP,HCM,6.0,-20.0,0.0,1061.0,0.0,0.0,0.0
EH066,Mecefix-B.E 50mg,HOP,HN,1.0,-142.0,0.0,310.0,0.0,0.0,0.0
EH066,Mecefix-B.E 50mg,HOP,KH,5.0,0.0,0.0,177.0,102.0,0.0,0.0
EH066,Mecefix-B.E 50mg,HOP,NA,2.0,0.0,0.0,104.0,0.0,0.0,0.0
EH067,Mecefix-B.E 75mg,HOP,CT,7.0,0.0,204.0,103.0,0.0,0.0,0.0
EH067,Mecefix-B.E 75mg,HOP,DNAI,6.0,-115.0,0.0,497.0,0.0,0.0,0.0
EH067,Mecefix-B.E 75mg,HOP,DNANG,5.0,-10.0,0.0,396.0,204.0,0.0,0.0
EH067,Mecefix-B.E 75mg,HOP,HCM,6.0,-37.0,0.0,2455.0,0.0,0.0,0.0
EH067,Mecefix-B.E 75mg,HOP,HN,1.0,-20.0,0.0,228.0,0.0,0.0,0.0
EH067,Mecefix-B.E 75mg,HOP,KH,5.0,-8.0,0.0,539.0,0.0,0.0,0.0
EH067,Mecefix-B.E 75mg,HOP,NA,2.0,0.0,0.0,219.0,0.0,0.0,0.0
EH068,Mecefix-B.E 150mg,HOP,CT,7.0,0.0,0.0,61.0,0.0,0.0,0.0
EH068,Mecefix-B.E 150mg,HOP,DNAI,6.0,0.0,0.0,217.0,160.0,0.0,0.0
EH068,Mecefix-B.E 150mg,HOP,DNANG,5.0,0.0,0.0,368.0,1319.0,0.0,0.0
EH068,Mecefix-B.E 150mg,HOP,HCM,6.0,0.0,0.0,769.0,0.0,0.0,0.0
EH068,Mecefix-B.E 150mg,HOP,HN,1.0,0.0,0.0,112.0,0.0,0.0,0.0
EH068,Mecefix-B.E 150mg,HOP,KH,5.0,0.0,0.0,30.0,160.0,0.0,0.0
EH068,Mecefix-B.E 150mg,HOP,NA,2.0,0.0,0.0,171.0,0.0,0.0,0.0
EH069,Mecefix-B.E 200mg,HOP,CT,7.0,0.0,480.0,195.0,0.0,0.0,0.0
EH069,Mecefix-B.E 200mg,HOP,DNAI,6.0,-20.0,0.0,698.0,0.0,0.0,0.0
EH069,Mecefix-B.E 200mg,HOP,DNANG,5.0,-6.0,0.0,485.0,0.0,0.0,0.0
EH069,Mecefix-B.E 200mg,HOP,HCM,6.0,0.0,0.0,605.0,0.0,0.0,0.0
EH069,Mecefix-B.E 200mg,HOP,HN,1.0,0.0,0.0,201.0,0.0,0.0,0.0
EH069,Mecefix-B.E 200mg,HOP,KH,5.0,0.0,0.0,89.0,120.0,0.0,0.0
EH069,Mecefix-B.E 200mg,HOP,NA,2.0,0.0,0.0,75.0,0.0,0.0,0.0
