masanpham,tensanpham,donvi,chinhanh,songaynhan,tonao,tonhangdiduong,toncn,tonhcm,tonmerap,tonvime
EH020,Trimafort 10ml,HOP,HN,1.0,0.0,0.0,18.0,0.0,0.0,0.0
EH020,Trimafort 10ml,HOP,KH,5.0,0.0,0.0,43.0,0.0,0.0,0.0
EH065,Mecefix-B.E 250mg,HOP,CT,7.0,0.0,320.0,46.0,0.0,0.0,0.0
EH065,Mecefix-B.E 250mg,HOP,DNAI,6.0,-22.0,0.0,697.0,10.0,0.0,0.0
EH065,Mecefix-B.E 250mg,HOP,DNANG,5.0,-15.0,0.0,921.0,960.0,0.0,0.0
EH065,Mecefix-B.E 250mg,HOP,HCM,6.0,0.0,0.0,994.0,0.0,0.0,0.0
EH065,Mecefix-B.E 250mg,HOP,HN,1.0,0.0,0.0,161.0,0.0,0.0,0.0
EH065,Mecefix-B.E 250mg,HOP,KH,5.0,0.0,0.0,68.0,60.0,0.0,0.0
EH065,Mecefix-B.E 250mg,HOP,NA,2.0,0.0,0.0,169.0,0.0,0.0,0.0
EH066,Mecefix-B.E 50mg,HOP,CT,7.0,0.0,0.0,174.0,0.0,0.0,0.0
EH066,Mecefix-B.E 50mg,HOP,DNAI,6.0,-108.0,0.0,458.0,231.0,0.0,0.0
EH066,Mecefix-B.E 50mg,HOP,DNANG,5.0,-10.0,0.0,450.0,0.0,0.0,0.0
EH066,Mecefix-B.E 50mg,HOP,HCM,6.0,0.0,0.0,1093.0,0.0,0.0,0.0
EH066,Mecefix-B.E 50mg,HOP,HN,1.0,0.0,0.0,370.0,0.0,0.0,0.0
EH066,Mecefix-B.E 50mg,HOP,KH,5.0,0.0,0.0,182.0,102.0,0.0,0.0
EH066,Mecefix-B.E 50mg,HOP,NA,2.0,0.0,0.0,104.0,0.0,0.0,0.0
EH067,Mecefix-B.E 75mg,HOP,CT,7.0,0.0,204.0,104.0,0.0,0.0,0.0
EH067,Mecefix-B.E 75mg,HOP,DNAI,6.0,-174.0,0.0,617.0,0.0,0.0,0.0
EH067,Mecefix-B.E 75mg,HOP,DNANG,5.0,-10.0,0.0,399.0,204.0,0.0,0.0
EH067,Mecefix-B.E 75mg,HOP,HCM,6.0,-22.0,0.0,2494.0,0.0,0.0,0.0
EH067,Mecefix-B.E 75mg,HOP,HN,1.0,-22.0,0.0,294.0,0.0,0.0,0.0
EH067,Mecefix-B.E 75mg,HOP,KH,5.0,0.0,0.0,554.0,0.0,0.0,0.0
EH067,Mecefix-B.E 75mg,HOP,NA,2.0,0.0,0.0,219.0,0.0,0.0,0.0
EH068,Mecefix-B.E 150mg,HOP,CT,7.0,0.0,0.0,61.0,0.0,0.0,0.0
EH068,Mecefix-B.E 150mg,HOP,DNAI,6.0,0.0,0.0,253.0,160.0,0.0,0.0
EH068,Mecefix-B.E 150mg,HOP,DNANG,5.0,-10.0,0.0,378.0,1319.0,0.0,0.0
EH068,Mecefix-B.E 150mg,HOP,HCM,6.0,0.0,0.0,911.0,0.0,0.0,0.0
EH068,Mecefix-B.E 150mg,HOP,HN,1.0,-22.0,0.0,134.0,0.0,0.0,0.0
EH068,Mecefix-B.E 150mg,HOP,KH,5.0,0.0,0.0,30.0,160.0,0.0,0.0
EH068,Mecefix-B.E 150mg,HOP,NA,2.0,0.0,0.0,176.0,0.0,0.0,0.0
EH069,Mecefix-B.E 200mg,HOP,CT,7.0,0.0,480.0,235.0,0.0,0.0,0.0
EH069,Mecefix-B.E 200mg,HOP,DNAI,6.0,-20.0,0.0,729.0,0.0,0.0,0.0
EH069,Mecefix-B.E 200mg,HOP,DNANG,5.0,0.0,0.0,488.0,0.0,0.0,0.0
EH069,Mecefix-B.E 200mg,HOP,HCM,6.0,0.0,0.0,709.0,0.0,0.0,0.0
EH069,Mecefix-B.E 200mg,HOP,HN,1.0,0.0,0.0,252.0,0.0,0.0,0.0
EH069,Mecefix-B.E 200mg,HOP,KH,5.0,0.0,0.0,94.0,120.0,0.0,0.0
EH069,Mecefix-B.E 200mg,HOP,NA,2.0,0.0,0.0,75.0,0.0,0.0,0.0
